App Name,App Id,Category,Rating,Rating Count,Installs,Minimum Installs,Maximum Installs,Free,Price,Currency,Size,Minimum Android,Developer Id,Developer Website,Developer Email,Released,Last Updated,Content Rating,Privacy Policy,Ad Supported,In App Purchases,Editors Choice,Scraped Time
Virtual App,byowls.virtualapp,Tools,4.7,15,"1,000+",1000,4239,True,0,USD,6.3M,6.0 and up,ByOwls Studio,https://byowls.com/virtual-camera-virtual-joystick/,info@byowls.com,"Aug 19, 2019","Dec 26, 2020",Everyone,https://byowls.com/app-privacy-policy/,False,False,False,2021-06-16 12:50:28
錢老闆POS,com.everywhere.moneyboss.pos,Business,0.0,0,50+,50,84,True,0,USD,3.2M,4.3 and up,詮通電腦有限公司,http://www.everywhere.com.tw,service@everywhere.com.tw,"Jul 28, 2017","May 27, 2021",Everyone,https://store.moneyboss.com.tw/zh_tw/Index/Content/type/3/corporation/ew5331,False,False,False,2021-06-16 12:50:29
I come,com.hamza.icome,Shopping,4.8,26,100+,100,293,True,0,USD,9.0M,4.1 and up,I Come,,psirandh@gmail.com,"Jun 23, 2020","Jul 28, 2020",Everyone,https://sites.google.com/view/psirandhawa,False,False,False,2021-06-16 12:50:29
Fresh Fruits Company (FFC),com.ecomplanners.ffc,Shopping,3.8,8,"1,000+",1000,1016,True,0,USD,32M,6.0 and up,ECOM Planners,,ecomplannersq8@gmail.com,"Jan 24, 2020","Mar 15, 2021",Everyone,https://freshfruitsco.com/PrivacyPolicy,False,False,False,2021-06-16 12:50:29
聽你的還是聽我的？,com.legion80.ronn.ticit,Dating,0.0,0,5+,5,6,True,0,USD,1.3M,4.4 and up,80expert,http://80expert.blogspot.com,80expert@gmail.com,"Jan 28, 2017","Jan 29, 2017",Everyone,,False,False,False,2021-06-16 12:50:29
اناشيد الفنان فارس الحيدري بدون انترنت,com.minfo.farissonger,Libraries & Demo,0.0,0,100+,100,200,True,0,USD,77M,4.4 and up,Sketchware Dev,https://r86349fb5.app-ads-txt.com,hamzadhim2016@gmail.com,"Jul 31, 2019","Jul 31, 2019",Teen,http://www.m-info.tk/p/privacy-policy.html,True,False,False,2021-06-16 12:50:29
Kumpulan MOD BUSSID,com.bussidv3.kumpulanmodbussid,Entertainment,4.1,1087,"100,000+",100000,162237,True,0,USD,27M,4.1 and up,Luxury Livery,https://g1540252a.app-ads-txt.com,arumasolole@gmail.com,"Apr 4, 2019","May 30, 2020",Everyone,https://sites.google.com/site/luxurylivery909/,True,False,False,2021-06-16 12:50:29
PinSave: Fast Video Downloader for Pinterest,com.bibo.saurj.pintersave,Tools,3.7,93,"10,000+",10000,15167,True,0,USD,6.2M,4.1 and up,SAR SJC,,saurj911@gmail.com,"Jul 11, 2020","Sep 02, 2020",Everyone,https://docs.google.com/document/d/1yANGK8g93-cX6QDg1X_RS6yKxkBXnG8pnO9xiTrb5Cw/edit?usp=sharing,True,False,False,2021-06-16 12:50:29
AZUR 官方商城,com.nineyi.shop.s039949,Shopping,0.0,0,100+,100,459,True,0,USD,14M,6.0 and up,"91APP, Inc. (3)",,product@91app.com,"Jul 17, 2019","May 21, 2021",Everyone,https://appservice.91app.com/MyAccount/AppPrivacy?shopId=039949,False,False,False,2021-06-16 12:50:29
Baby Sleep Music & Songs,baby.sleep.music.songs.smiko,Health & Fitness,4.4,292,"50,000+",50000,82847,True,0,USD,Varies with device,4.2 and up,Smiko,https://smikoapps.com/,smikosc@gmail.com,"Mar 5, 2018","Mar 06, 2018",Everyone,https://smikoapps.wordpress.com/privacy-policy/,True,False,False,2021-06-16 12:50:29
Wallpapers for iPhone XI Max Wallpaper I OS 13,com.iphone_xi_max_wallpaper_11_xi_max.ios_13_wallpaper_iphone_11_xs_mr,Lifestyle,0.0,0,"1,000+",1000,2278,True,0,USD,18M,5.1 and up,Note 10 Wallpaper,,dung31121978@gmail.com,"Jun 11, 2019","Jun 11, 2019",Everyone,https://www.privacypolicies.com/privacy/view/926960e78dabe429ebd9e429837a0632,True,False,False,2021-06-16 12:50:29
Bem te-vi,com.programmer.obemtivi,Entertainment,3.4,7,500+,500,677,True,0,USD,4.1M,4.0.3 and up,Show apps,https://softcroyibope.blogspot.com/,lucianoadmob@gmail.com,"Mar 14, 2018","Jun 04, 2020",Everyone,,True,False,False,2021-06-16 12:50:29
Accesorios rubi,com.accesoriosrubi,Shopping,4.9,46,"1,000+",1000,1319,True,0,USD,39M,5.0 and up,Accesorios Rubi,https://accesoriosrubi.com,contacto@accesoriosrubi.com,"Apr 20, 2021","Jun 14, 2021",Everyone,https://accesoriosrubi.com/policies/privacy-policy,False,False,False,2021-06-16 12:50:29
Auto Assistant,com.bisonline.www,Auto & Vehicles,3.0,97,"10,000+",10000,23406,True,0,USD,6.6M,5.0 and up,Business Information Systems,http://bisonline.com,onlineservices@bisonline.com,"Jun 28, 2018","Jun 11, 2020",Everyone,https://www2.bisonline.com/app-privacy/,False,False,False,2021-06-16 12:50:29
IHP Fitness,com.ihpfitness,Health & Fitness,0.0,0,100+,100,197,True,0,USD,6.7M,5.0 and up,WL Mobile,https://www.wellnessliving.com/fitness/bocaraton/ihp/review/,rio@ihpfit.com,"Oct 9, 2017","Dec 11, 2020",Everyone,https://www.wellnessliving.com/text/privacy.html,False,False,False,2021-06-16 12:50:29
VolleyBall Game,com.kidscodepro.volleyball,Sports,0.0,0,100+,100,464,True,0,USD,8.2M,4.0 and up,Kids Code Pro,http://kidscode.pro,info@kidscode.pro,"Aug 21, 2020","Aug 21, 2020",Everyone,http://kidscode.pro/privacy_policy_gp/volleyball_game.html,False,False,False,2021-06-16 12:50:29
Balanced Kitchen Калкулатор калории Отслабване,eu.balancedkitchen.store,Health & Fitness,4.2,29,"1,000+",1000,1391,True,0,USD,40M,5.0 and up,Tonio Tonev,https://balancedkitchen.bg/,contact@balancedkitchen.eu,"Sep 2, 2020","Oct 01, 2020",Everyone,https://balancedkitchen.bg/images/%D0%9F%D1%80%D0%B0%D0%B2%D0%B8%D0%BB%D0%B0/PP_BK_v1.pdf,True,False,False,2021-06-16 12:50:29
CSIR NET (Life Science) Mock Tests App,com.edugorilla.teachlifesci,Education,3.7,76,"10,000+",10000,19302,True,0,USD,15M,4.4W and up,EduGorilla Testseries 2,https://testseries.edugorilla.com/tests/615/life-science,developer@edugorilla.com,"Oct 31, 2019","Jun 13, 2021",Everyone,https://edugorilla.com/privacy-policy-2/,False,False,False,2021-06-16 12:50:29
PassionGadgets New,passiongadgets.new.qoo10.android.qstore,Shopping,0.0,0,100+,100,463,True,0,USD,4.3M,4.0 and up,QStore Powered by Qoo10,http://passionqstore.qstore.sg,qoo10mobile@qoo10.com,"Aug 25, 2016","Apr 06, 2017",Everyone,http://passionqstore.qstore.sg/GMKT.INC/Company/PrivacyPolicy.aspx,False,False,False,2021-06-16 12:50:29
Parkour Maps NEW,com.sparkzdev.bestparkourmap,Entertainment,3.3,396,"100,000+",100000,164394,True,0,USD,16M,4.4 and up,Spark Z Dev,,tata.lovezebra@aol.com,"May 26, 2019","May 26, 2019",Everyone,https://sparkzdev.netlify.com/,True,False,False,2021-06-16 12:50:29
NewsPot - Hindi & English News + ePapers,in.rk.hindi_news1,News & Magazines,0.0,0,50+,50,90,True,0,USD,6.5M,4.2 and up,ArtWork Apps,,rahulkr9492@gmail.com,"Jul 14, 2019","May 09, 2020",Everyone,https://www.dropbox.com/s/mjzjovmz9595qgy/Hindi%20News%20Privacy.txt?dl=0,False,False,False,2021-06-16 12:50:29
レトロな壁紙きせかえ　One day,jp.co.a_tm.android.plus_one_day,Personalization,4.4,5,"1,000+",1000,4830,True,0,USD,1.4M,2.1 and up,+HOME by Ateam,http://android.atm-plushome.com/theme/index/?=am_plushome_info,info+android@atm-plushome.com,"May 10, 2012","Jul 02, 2012",Everyone,http://www.a-tm.co.jp/en/privacy/,True,False,False,2021-06-16 12:50:29
SPORT TV,pt.sporttv.app,Sports,4.1,3126,"500,000+",500000,550144,True,0,USD,57M,5.0 and up,"Sport TV, SA",https://www.sporttv.pt/,suporteapp@sporttv.pt,"Jun 11, 2019","Jun 08, 2021",Everyone,https://www.sporttv.pt/politica-de-privacidade/,False,False,False,2021-06-16 12:50:29
Khushgawar Zindagi,com.bvtechgames.khus.hgawa,Books & Reference,0.0,0,500+,500,606,True,0,USD,6.2M,2.3.3 and up,BvTechGames,https://appsblog007.blogspot.com,appsadvertising01@gmail.com,"Apr 14, 2017","Apr 06, 2018",Everyone,https://sites.google.com/view/khushgawarzindagi,True,False,False,2021-06-16 12:50:29
Bilkollektivet,no.shortcut.bilkollektivet,Travel & Local,4.3,223,"1,000+",1000,4822,True,0,USD,22M,5.0 and up,Bilkollektivet SA,http://bilkollektivet.no,support@bilkollektivet.no,"Jun 2, 2020","Jun 14, 2021",Everyone,https://bilkollektivet.no/personvernerklaering/,False,False,False,2021-06-16 12:50:29
"Имя ребенка, девочки или мальчика, значение имени",dev.baarsjes.babynamespro,Parenting,3.8,37,"10,000+",10000,12888,True,0,USD,4.0M,4.1 and up,Svetlana Khannanova,,dev.baarsjes@gmail.com,"Sep 25, 2018","Nov 06, 2018",Everyone,,False,False,False,2021-06-16 12:50:29
Fit&Dev,com.fitndev.customer,Health & Fitness,0.0,0,10+,10,14,True,0,USD,Varies with device,6.0 and up,FitNDev,https://fitndev.com,apps@fitndev.com,"Aug 29, 2017","Mar 08, 2021",Everyone,https://fitndev.com/privacy,False,True,False,2021-06-16 12:50:30
Jennie Blackpink Wallpaper: Wallpapers Jennie Fans,com.wiyarto.jenniekim,Personalization,4.6,18,"1,000+",1000,3918,True,0,USD,4.8M,5.0 and up,Wiyarto Developer,https://wiyartodeveloper.blogspot.com/ads.txt,wiyartosumpeno123@gmail.com,"Aug 22, 2019","Nov 01, 2020",Teen,https://sites.google.com/view/wiyartodeveloper/beranda,True,False,False,2021-06-16 12:50:30
MP Mobile,in.mpo.mpmobile,Communication,3.9,5211,"1,000,000+",1000000,1022615,True,0,USD,5.7M,4.0 and up,MPOnline Limited,http://www.mponline.gov.in,dhiraj.chouksey@mponline.gov.in,"Apr 11, 2015","Jan 15, 2021",Everyone,http://mpoandroid.mponline.gov.in/PrivacyPolicy/MPMobile_PrivacyPolicy.html,False,False,False,2021-06-16 12:50:30
علاج الامساك,com.constipation.treatment,Health & Fitness,0.0,0,10+,10,33,True,0,USD,2.1M,4.0 and up,knight.94,,knight.g1994@gmail.com,"May 14, 2021","May 14, 2021",Everyone,,True,False,False,2021-06-16 12:50:30
PSI Exam,p.si.exa.rudrasoft,Education,4.4,59,"10,000+",10000,26971,True,0,USD,5.6M,4.0.3 and up,Rudra Soft,,omsoftsolution7@gmail.com,"Jul 4, 2017","Oct 30, 2018",Everyone,https://rudrasoftsolution.blogspot.com/p/rudra-soft.html,True,False,False,2021-06-16 12:50:30
All Country Currency Convertor & Calculator,com.triputiapps.convertercurrency,Tools,3.3,339,"100,000+",100000,248151,True,0,USD,4.5M,4.4 and up,Triputi Apps,,triputiapps@gmail.com,"Jan 8, 2019","Oct 03, 2020",Everyone,https://triputiapps.blogspot.com,True,False,False,2021-06-16 12:50:30
은하수 전쟁 : 비행기 슈팅 게임,com.TangSix.MyShooting,Arcade,0.0,0,10+,10,21,True,0,USD,13M,4.1 and up,Copying Typist,,aozhagkwk@gmail.com,"Nov 10, 2019","Nov 10, 2019",Everyone,https://drive.google.com/open?id=1nOeA28ZZ09wsQIN7LboB6wMZp0VlhFjm,False,False,False,2021-06-16 12:50:30
Appy School Staff,com.varchinno.appyschool.staff,Education,4.2,6,100+,100,308,True,0,USD,6.1M,4.4 and up,Varchinno Technologies Pvt. Ltd,http://appyschool.in,contact@varchinno.com,"Jun 1, 2017","Jun 02, 2020",Everyone,https://config.appyschool.in/staffappprivacypolicy.jsp,False,False,False,2021-06-16 12:50:30
Ahval | أحوال تركية | تركيا في دائرة الضوء,com.ahvalnewsar.android,News & Magazines,4.0,5,100+,100,130,True,0,USD,7.4M,4.1 and up,Ahval News,http://www.ahvalnews.com,apps@ahvalnews.com,"Mar 20, 2018","Oct 20, 2020",Everyone,https://ahvalnews.com/contact/contact_us,False,False,False,2021-06-16 12:50:30
🥇 Spirit Catholic Radio Network Nebraska US,com.cymstudio.spirit.catholic.radio.network,Music & Audio,0.0,0,10+,10,22,True,0,USD,4.9M,4.1 and up,CyJ Studio,,cecimaza82@gmail.com,"Feb 13, 2020","Feb 14, 2020",Teen,https://sites.google.com/view/privacy-policy82/p%C3%A1gina-principal,True,False,False,2021-06-16 12:50:30
Portuguese Swedish Translator,com.esgeeks.PortugueseSwedishTranslator,Communication,0.0,0,100+,100,183,True,0,USD,3.7M,4.0.3 and up,Alexynior,https://esgeeks.com,aprenderdesde0@gmail.com,"Sep 25, 2018","Sep 25, 2018",Everyone,https://esgeeks.com/politica-de-privacidad/,True,False,False,2021-06-16 12:50:30
Anawaz Electronics,com.vividvisionz.anawazelectronics,Shopping,4.4,16,100+,100,388,True,0,USD,13M,4.1 and up,VividVisionz.net,http://www.vividvisionz.net,thoughts_creative@hotmail.com,"Apr 20, 2018","Oct 29, 2018",Everyone,http://vividvisionz.net/privacypolicy.php,False,False,False,2021-06-16 12:50:30
Radio Morena 94.5,com.questreaming.radiomorena,Music & Audio,0.0,0,"1,000+",1000,1914,True,0,USD,10M,5.0 and up,Que Streaming / Android,https://www.questreaming.com,ventas@questreaming.com,"Feb 22, 2018","Sep 08, 2020",Everyone,https://questreaming.com/privacypolicy.html,False,False,False,2021-06-16 12:50:30
Darshni's Beauty & spa,sg.com.sunpro.darshini,Beauty,0.0,0,10+,10,45,True,0,USD,2.0M,4.0 and up,Sunpro Inno Apps Pte Ltd,http://www.sunpro.com.sg,jiya@sunpro.com.sg,"Oct 17, 2018","Jun 04, 2019",Everyone,,False,False,False,2021-06-16 12:50:31
Clinical Study Launchpad,app.vitalrecall.mobile.internal,Medical,0.0,0,5+,5,5,True,0,USD,20M,7.0 and up,"ARDVRK Technologies, Inc.",https://ardvrktech.com,support@ardvrktech.com,"Oct 12, 2020","Oct 12, 2020",Everyone,https://ardvrktech.com/privacy-policy/,False,False,False,2021-06-16 12:50:31
Guess English Chinese Word With CrossWord,com.ozizapps.crosswordenglishchinese,Word,4.8,20,500+,500,510,True,0,USD,4.3M,5.0 and up,Oziz Apps,https://www.ozizapps.com,ozizapps@gmail.com,"Dec 5, 2019","Jan 27, 2021",Everyone,https://www.ozizapps.com/crossword-english-chinese-privacy-policy/,True,False,False,2021-06-16 12:50:31
Auto Azan Alarm Philippines,com.muslimapps360.auto.azan.alarm.philippines.prayer.timing.qibla.direction,Lifestyle,0.0,0,100+,100,156,True,0,USD,10M,4.2 and up,Muslim Apps 360,http://greatestislamicappstore.blogspot.com,muslimapps360@gmail.com,"Mar 28, 2021","Mar 28, 2021",Everyone,https://muslimsapps360.blogspot.com/2019/11/privacy-policy-of-muslim-apps-360-we.html,True,False,False,2021-06-16 12:50:31
Sqroot - IIT JEE NEET Exam Preparation,squareroot.test.com.squareroot,Education,3.9,271,"50,000+",50000,51981,True,0,USD,14M,5.0 and up,SquareRoot Team,,india.startup6@gmail.com,"Nov 6, 2018","Sep 06, 2019",Everyone,https://firebasestorage.googleapis.com/v0/b/testmsgnew.appspot.com/o/index.html?alt=media,True,False,False,2021-06-16 12:50:31
J-Line Sales APP,be.jolipa.jline,Shopping,0.0,0,50+,50,91,True,0,USD,11M,4.4 and up,BOA.,https://www.j-line.be/,info@j-line.be,"Aug 27, 2019","Jun 04, 2021",Everyone,https://www.j-line.be/nl/j-line/privacybeleid/,False,False,False,2021-06-16 12:50:31
Bucharest Metro Map Offline,com.metromapoffline.bucharest,Maps & Navigation,0.0,0,100+,100,198,True,0,USD,4.1M,4.1 and up,PTK Radio Apps,https://enkomapp-ads.wuvistudio.com/,umroatin2575@gmail.com,"Apr 9, 2019","Oct 20, 2019",Everyone,https://radioptkapp.blogspot.com/2018/09/privacy-policy.html,True,False,False,2021-06-16 12:50:31
Navita Drilling Monitoring - NDM,com.tosigav.android.ndm2,Business,0.0,0,100+,100,181,True,0,USD,3.9M,4.1 and up,Navita Origo Inovator,http://www.navitaorigo.co.id,developer@tosigav.com,"Jul 20, 2020","May 21, 2021",Everyone,http://navitaorigo.co.id/app_policy.php,False,False,False,2021-06-16 12:50:31
Village Map : गांव का नक्शा ऐप,com.allvillagemap.village.maps.gpsmaps.naksha.villagemap,Education,4.2,13,"10,000+",10000,18104,True,0,USD,8.5M,4.1 and up,App for India,http://appindia.xyz,imagineindias@outlook.com,"Sep 16, 2019","Sep 29, 2020",Everyone,https://imagineindias.wixsite.com/privacy,True,False,False,2021-06-16 12:50:31
Chocolate Lovers Recipe,com.andromo.dev331365.app415482,Productivity,0.0,0,500+,500,836,True,0,USD,3.8M,2.3.3 and up,AppPassage,,ketanharer2015@gmail.com,"Aug 27, 2015","Aug 27, 2015",Everyone,https://passagedotsoftware.wordpress.com/terms-and-conditions/,True,False,False,2021-06-16 12:50:31
Padeye Design,com.jckayyath.padeyedesign,Productivity,4.9,19,"1,000+",1000,3179,True,0,USD,5.0M,4.4 and up,j backer,,padeyedesignapp@gmail.com,"Jun 13, 2017","Nov 09, 2018",Everyone,,False,True,False,2021-06-16 12:50:31
الطريقة الصحيحة لزيادة الوزن بالحلبة بدون نت‎,com.khalik.stiwta.blahyalba,Books & Reference,0.0,0,"1,000+",1000,1229,True,0,USD,3.0M,4.2 and up,Victroire pro,,ass.fes@gmail.com,"Jul 15, 2020","Jul 15, 2020",Everyone,https://sites.google.com/view/victroire/accueil,True,False,False,2021-06-16 12:50:31
Rescue Sheet Brasil,com.pozzaniti.rescuesheet,Tools,3.9,131,"10,000+",10000,14324,True,0,USD,5.5M,4.1 and up,Corpo de Bombeiros São Paulo,http://www.corpodebombeiros.sp.gov.br,ccbdivtel@policiamilitar.sp.gov.br,"Sep 13, 2018","Oct 12, 2019",Everyone,http://www.rescuesheetbrasil.com.br/,False,False,False,2021-06-16 12:50:31
दावत व तब्लीग़ : Dawat Wa Tabligh Hindi,com.hindiurduapps.dawatwatablighhindi,Books & Reference,0.0,0,"5,000+",5000,6955,True,0,USD,21M,4.4 and up,Hindi Urdu Apps,https://islamicbookelover.blogspot.com,ramg3879@gmail.com,"Jul 26, 2018","Nov 12, 2020",Everyone,https://hindiislamicebook.wordpress.com/2018/10/11/the-journey-begins/,True,False,False,2021-06-16 12:50:31
Spoken English Learning and Practice,rajdigital.bolo.english,Education,4.5,104,"10,000+",10000,34633,True,0,USD,8.2M,5.0 and up,RAJ Digital,https://w968f5047.app-ads-txt.com,ask.rajdigital@gmail.com,"Mar 27, 2020","Apr 26, 2021",Everyone,https://appmakerstudio.blogspot.com/2020/03/bolo-english-privacy-policy.html,True,False,False,2021-06-16 12:50:31
SmartWake by Verlo Mattress,com.ai.earlysense.verlo,Health & Fitness,4.6,5,100+,100,131,True,0,USD,33M,4.3 and up,Earlysense,http://verlo.com,help@smartwakesupport.com,"Nov 14, 2016","May 14, 2017",Everyone,https://smartwakesupport.com/privacy-policy/,False,False,False,2021-06-16 12:50:31
KOÇ HEALTHCARE,com.amerikanhastanesi.connect,Health & Fitness,3.1,84,"10,000+",10000,17695,True,0,USD,43M,4.4 and up,Amerikan Hastanesi,http://www.amerikanhastanesi.org,apple@amerikanhastanesi.org,"Mar 15, 2017","Jun 01, 2021",Everyone,http://www.amerikanhastanesi.com.tr/Privacy.aspx,False,False,False,2021-06-16 12:50:31
CB ESMERALDA,com.app.p6214CG,House & Home,0.0,0,10+,10,19,True,0,USD,23M,4.4 and up,Sergio Hugo Higashi Rosas,https://esmeralda.coldwellbanker.com.mx/?of=Esmeralda,appdevelopermty@gmail.com,"Oct 22, 2020","Jun 04, 2021",Everyone,https://esmeralda.coldwellbanker.com.mx/aviso_privacidad?of=esmeralda,False,False,False,2021-06-16 12:50:31
Braves,br.com.equipebraves,Sports,0.0,0,10+,10,47,True,0,USD,40M,4.4 and up,Millbody,,thiagoluizdepaiva@hotmail.com,"Apr 8, 2020","Jun 17, 2020",Everyone,https://www.millbody.com/gym/privacidade/,False,False,False,2021-06-16 12:50:31
Cast Away - The Hardest Escape,com.chudanqing.castaway,Puzzle,3.6,5648,"100,000+",100000,264427,True,0,USD,17M,3.0 and up,A99H.COM,http://WWW.A99H.COM,CHUDANQING@GMAIL.COM,"Dec 4, 2014","Jul 30, 2015",Everyone,,True,False,False,2021-06-16 12:50:31
Recetas de Pan,com.andromo.dev605364.app850322,Food & Drink,4.0,14,"5,000+",5000,5651,True,0,USD,6.0M,4.1 and up,Nubia Suarez,https://mishermosasaplicaciones.blogspot.com/,nuvia30suarez@gmail.com,"Sep 4, 2018","Sep 18, 2020",Everyone,http://myappterms.com/reader.php?id=1,True,False,False,2021-06-16 12:50:31
Boomerang Mp3,com.panelapp.boomerangmp3,Music & Audio,3.5,17,"1,000+",1000,3348,True,0,USD,8.2M,4.0.3 and up,panel app,http://maxndroid.com/studio/app-ads.txt,nernadiah@gmail.com,"Jul 1, 2019","Nov 08, 2019",Everyone,https://www.blogger.com/blogger.g?blogID=677780982627483404#editor/target=post;postID=3563033647968074282;onPublishedMenu=allposts;onClosedMenu=allposts;postNum=0;src=postname,True,False,False,2021-06-16 12:50:31
Amforca Parent,com.kindplanner.parentapp.amforca,Education,0.0,0,10+,10,24,True,0,USD,52M,5.0 and up,KindPlanner Software B.V.,https://www.amforcakidsclub.com/contact/,kidsclub@amforca.com,"Feb 17, 2021","Jan 12, 2021",Everyone,https://www.kindplanner.nl/kp-ouder-privacy-policy/,False,False,False,2021-06-16 12:50:31
Realistic Magic Wand,com.BestInCategory.MagicWand9,Casual,0.0,0,1+,1,2,True,0,USD,15M,4.4 and up,Best in Category,,best.in.category.apps@gmail.com,"Jun 8, 2021","Jun 08, 2021",Everyone,,True,False,False,2021-06-16 12:50:32
Ways to Firming /Tightening Your Breasts Naturally,com.andromo.dev653868.app1024790,Health & Fitness,0.0,0,"10,000+",10000,32000,True,0,USD,4.0M,4.1 and up,MasterpieceApps,,rrnshams@gmail.com,"Sep 15, 2019","Jul 07, 2020",Everyone,https://masterpieceapps.blogspot.com/2019/08/privacy-policy-masterpieceapps-built.html,True,False,False,2021-06-16 12:50:32
"Brunswick CSD, NY",com.apptegy.brunswickcsd,Education,0.0,0,100+,100,289,True,0,USD,18M,4.1 and up,Apptegy,http://apptegy.com,developer@apptegy.com,"Feb 20, 2020","Feb 20, 2020",Everyone,http://apptegy.com/privacy-policy,False,False,False,2021-06-16 12:50:32
Altair Super VPN,com.aldebaran.supervpnfree,Tools,4.2,17,500+,500,995,True,0,USD,8.9M,4.4 and up,A. Sulaiman,https://sea-colour.blogspot.com/,ahmad.sulaiman.affandi@gmail.com,"Jun 12, 2019","Apr 07, 2021",Everyone,https://sea-colour.blogspot.com/2019/04/privacy-policy.html,True,False,False,2021-06-16 12:50:32
Independence Day Photo Frame,com.tastyapps.independence.love.photo.frames,Photography,0.0,0,100+,100,208,True,0,USD,7.5M,4.0.3 and up,Satynarayan,,apptasty7@gmail.com,"Jul 5, 2019","Jul 06, 2019",Everyone,https://tastyapp.blogspot.com/,True,False,False,2021-06-16 12:50:32
SUCCESS ACADEMY,co.jorah.succsa,Education,0.0,0,5+,5,5,True,0,USD,37M,4.2 and up,Education Root Media,,support@classplus.co,"Mar 19, 2020","Jun 09, 2021",Everyone,https://classplusapp.com/privacy.html,False,False,False,2021-06-16 12:50:32
New Famous Islamic Songs,com.marsukrimarnanus.famousislamicsongsnasheedringtonesnew,Entertainment,0.0,0,100+,100,222,True,0,USD,4.6M,4.1 and up,Marsukri Marnanus,https://appl-ads-txt.blogspot.com/,fahrurachmadn@gmail.com,"Jan 17, 2020","Jan 18, 2020",Everyone,,True,False,False,2021-06-16 12:50:32
Saeed Al Astghfar - Urdu Book Offline,com.glowingapps.klonjiseilaj,Books & Reference,0.0,0,50+,50,78,True,0,USD,7.4M,4.1 and up,5tan Library,,glowingappss@gmail.com,"May 7, 2017","Aug 25, 2020",Everyone,https://5tan-library.flycricket.io/privacy.html,True,False,False,2021-06-16 12:50:32
Báo Việt,huypq.app.vnnews,News & Magazines,5.0,6,10+,10,44,True,0,USD,5.4M,4.4 and up,QuangHuyPham,,haiduong1006@gmail.com,"Apr 8, 2021","Apr 08, 2021",Everyone,,False,False,False,2021-06-16 12:50:32
Learn Chinese Writing: Numbers,com.teachersparadise.chinesecharactersnumbers,Educational,3.8,63,"10,000+",10000,11294,True,0,USD,4.7M,3.0 and up,TeachersParadise.com,http://www.teachersparadise.com/,apps@teachersparadise.com,"Jun 10, 2015","Sep 28, 2016",Everyone,http://www.teachersparadise.com/help/privacy-policy,True,False,False,2021-06-16 12:50:32
Bhinder Badra INC. [ NEW ] - #Bhinder_Badra,com.bhinderbadra.data.inc,Lifestyle,0.0,0,10+,10,21,True,0,USD,8.2M,,Bhinder Badra,http://www.bhinderbadra.com,bhinderbadraofficial@gmail.com,"Oct 12, 2019","Jan 21, 2021",Mature 17+,https://www.bhinderbadra.com/privacy_policy,True,False,False,2021-06-16 12:50:32
Beautiful Dress Up Run 3D,com.catealkbeauty.dressuprun3d,Casual,0.0,0,"1,000+",1000,1263,True,0,USD,38M,4.4 and up,everettyglo077,,everettyglovert@gmail.com,"Jun 2, 2021","Jun 02, 2021",Everyone,,True,False,False,2021-06-16 12:50:32
Ryba International,com.loyaltyplant.partner.rybainter,Food & Drink,4.6,10,500+,500,806,True,0,USD,12M,4.4 and up,Алексей Скорняков,http://loyaltyplant.com,support@loyaltyplant.com,"Nov 30, 2020","Feb 14, 2021",Mature 17+,https://eula.loyaltyplant.com/eula/2983,True,False,False,2021-06-16 12:50:32
Nashville Vineyard,com.echurchapps.nashvineyard,Lifestyle,0.0,0,10+,10,30,True,0,USD,8.6M,4.1 and up,echurch,http://echurch.com,echurchapps@echurchgiving.com,"Mar 10, 2017","May 30, 2019",Everyone,http://echurch.com/privacy-policy/,False,False,False,2021-06-16 12:50:32
Spy Bunny,com.TomatoFactory.SpyBunny,Arcade,4.9,23,500+,500,903,True,0,USD,60M,4.1 and up,TomatoFactory,https://www.facebook.com/groups/159894777932070/,ez2go@naver.com,"Nov 17, 2017","Nov 29, 2017",Everyone,,True,True,False,2021-06-16 12:50:33
Learn French: words and vocabulary part 2,com.jcreativa.learnfrenchwordsvocabularie2,Education,0.0,0,1+,1,4,True,0,USD,25M,4.1 and up,Aprende Idiomas,https://jcreativa.com/,lucyeleogp2@gmail.com,"Apr 12, 2021","Apr 12, 2021",Everyone,,True,False,False,2021-06-16 12:50:33
Our Journey with Ketogenic Diet Therapy,com.pch.ketogenic,Medical,0.0,0,50+,50,61,True,0,USD,13M,4.1 and up,Phoenix Children's,http://www.theemilycenter.org,emilyc@phoenixchildrens.org,"Sep 11, 2019","Feb 17, 2020",Everyone,https://www.phoenixchildrens.org/privacy-policy/mobile-applications,False,False,False,2021-06-16 12:50:33
Fire Weed Keyboard Theme,com.ikeyboard.theme.fire_weed,Personalization,4.5,3368,"500,000+",500000,827753,True,0,USD,3.5M,4.1 and up,Free keyboard for Android-2021 theme apps,https://cekalsid-5fe02.web.app,cekalsid@gmail.com,"Nov 28, 2017","Oct 14, 2020",Mature 17+,http://www.kikatech.com/privacy_en_kika_keyboard_theme.html,True,False,False,2021-06-16 12:50:33
Tube Music Download + TubePlay Mp3 Downloader,apps.music.downloader.mp3.download.player.pauh,Music & Audio,4.4,12,"1,000+",1000,1630,True,0,USD,11M,4.4 and up,junetwasit,http://aimpku.xyz,junetwasit@gmail.com,"Mar 8, 2021","Mar 08, 2021",Teen,https://aimpku.xyz/privacy-policy.html,True,False,False,2021-06-16 12:50:33
